RB,R_NUMBER,S_NUMBER,S_NAME,Datum,LENGTH SECTION,Ave_Rain,Max_Snow,Ave_Temp,Max_Temp,Min_Temp,Аve_Height,LIMIT,Kr.Kar.,Ave_Rad,Lat_Force,Ave_Inc,SKIDRES,RDB_RUT ,IRI,PCI,KON.NAK.,SSD H,SSD V,V sign,H sign,K.Int. P.T,K.Bridges,PGDS_2017,Wi_2017
35,A1,301,Demir kapija 3 (Koreshnica) - Udovo,2013,20357,531,2.16,14.19,33.05,-1.65,105,78.0,70.51,686,0.684,0.45,0.4,4.94,2.55,66,0.25,0.44,0.0,23,0.5,0.05,0.49,6616,0.491
36,A1,302,Udovo - Marvinci 1,2013,8899,521,0.86,14.42,33.36,-1.52,68,83.33,23.15,2689,0.199,0.2,0.4,3.05,1.89,67,0.11,0.22,0.0,23,0.5,0.11,0.22,6616,9.552
37,A1,303,Marvinci 1 - Smokvica,2013,2717,522,0.97,14.4,33.33,-1.53,71,78.57,94.26,658,0.724,1.55,0.4,3.07,1.95,64,0.74,1.1,0.0,23,0.5,1.1,0.74,6616,0.0
38,A2,311,Drzhavna granica MK/BG (Deve Bair) - Uzem,2019,1580,796,34.98,8.5,25.22,-5.0,1118,100.0,450.01,97,7.955,5.43,0.4,0.45,2.22,68,1.27,3.16,0.0,23,1.0,0.63,0.63,2214,53.797
39,A2,312,Uzem - Kiselica (Krklja),2019,8992,726,25.93,10.07,27.38,-4.08,845,86.67,229.91,425,1.364,4.47,0.35,2.74,3.01,52,1.22,1.89,0.11,29,1.0,0.44,0.56,2214,3.336
40,A2,313,Kiselica (Krklja) - Kriva Palanka,2019,3705,681,20.52,11.01,28.65,-3.53,674,80.0,261.94,169,2.922,2.21,0.35,3.07,1.83,88,2.16,4.05,0.81,11,1.0,0.54,0.54,2214,0.0
41,A2,314,Kriva Palanka - Mozhdivnjak,2013,9398,662,18.22,11.41,29.22,-3.29,605,70.0,209.86,377,1.003,2.73,0.35,3.86,2.03,80,1.7,1.92,0.21,16,1.0,0.64,0.21,3831,10.641
42,A2,315,Mozhdivnjak - Rankovce,2013,11796,637,14.77,12.01,30.04,-2.94,510,64.0,86.55,1230,0.257,1.05,0.35,2.56,1.95,76,0.85,1.36,0.25,21,1.0,0.59,1.02,3831,2.543
43,A2,316,Rankovce - Stracin (Krilatica),2013,5792,640,15.52,11.88,29.86,-3.02,520,63.33,57.95,1244,0.249,5.11,0.4,2.99,2.26,68,0.52,0.69,0.35,28,1.0,0.35,0.35,3831,3.453
44,A2,317,Stracin (Krilatica) - Vojnik,2020,17714,641,15.36,11.91,29.9,-3.0,522,70.0,77.46,601,0.629,2.96,0.4,2.7,1.33,93,0.62,0.85,0.34,2,1.0,0.17,0.28,3060,3.387
45,A2,318,Vojnik - Mlado Nagorichane,2020,4833,600,10.54,12.74,31.05,-2.51,369,80.0,18.02,7875,0.063,3.79,0.4,2.8,1.51,94,0.21,0.21,0.21,2,1.0,0.41,0.21,3060,4.138
46,A2,319,Mlado Nagorichane - D. Konjare 2 (Karposh),2020,8635,613,12.26,12.44,30.64,-2.68,420,70.0,86.28,623,0.607,2.28,0.35,2.01,1.3,93,0.46,1.27,0.46,2,1.0,0.35,0.12,3060,21.424
47,A2,320,D. Konjare 2 (Karposh) - D. Konjare 1 (avtopat),2020,1299,595,9.98,12.84,31.18,-2.45,349,80.0,40.05,6930,0.071,5.54,0.4,0.46,1.87,93,0.77,0.77,0.77,2,1.0,1.54,0.77,3060,0.0
48,A2,321,Blatishte (Kamenjane) (avtopat) - Remenica (Negotino Poloshko) (avtopat),2013,8233,630,14.35,12.08,30.14,-2.9,484,70.0,1.88,0,0.0,0.66,0.4,2.4,1.86,74,0.0,0.0,0.0,19,2.0,0.24,0.36,13087,1.215
49,A2,322,Remenica (Negotino Poloshko) (avtopat) - Tumchevishte (avtopat),2013,2165,636,15.07,11.96,29.97,-2.97,506,100.0,1.64,0,0.0,1.72,0.35,3.52,2.05,81,0.0,0.0,0.0,19,2.0,0.46,0.46,13087,4.619
50,A2,323,Tumchevishte (avtopat) - Gostivar 1 (avtopat),2013,3936,637,15.18,11.94,29.95,-2.98,510,76.0,3.96,0,0.0,0.87,0.4,4.85,1.9,77,0.0,0.0,0.0,24,2.0,0.51,0.25,13087,22.866
51,A2,324,Gostivar 1 (avtopat) - Gostivar 2 (Mlaka),2013,1887,641,15.66,11.85,29.83,-3.03,524,68.0,36.93,2048,0.174,1.94,0.35,8.72,1.44,79,0.53,0.53,0.0,20,2.0,1.06,0.0,13087,0.0
52,A2,325,Gostivar 2 (Mlaka) - Gostivar 3 (Zdunje),2017,1810,645,16.24,11.75,29.7,-3.09,542,60.0,20.11,2781,0.1,0.97,0.35,6.07,1.55,79,0.55,0.0,0.0,20,2.0,1.66,0.0,13087,0.0
